OBJECTID,Name,Village_Type,COMP_PLAN_TYPE,YR_1995,YR_2000,YR_2001,Job_00_01,YR_2002,Job_01_02,YR_2003,Job_02_03,YR_2004,Job_03_04,YR_2005,Job_04_05,YR_2006,Job_05_06,YR_2007,Job_06_07,YR_2008,Job_07_08,YR_2009,Job_08_09,YR_2010,Job_09_10,YR_2011,Job_10_11,YR_2012,Job_11_12,YR_2013,Job_12_13,YR_2014,Job_13_14,YR_2015,Job_14_15,YR_2016,Job_15_16,YR_2017,Job_16_17,YR_2018,Job_17_18
1,12th Avenue,UCV,Urban Centers,3577,4486,4179,-307,4350,171,4514,164,4502,-12,11450,6948,5070,-6380,5274,204,5454,180,5208,-246,5054,-154,4901,-153,4926,25,5242,316,5333,91,5083,-250,5231,148,5471,240,5605,134
2,23rd & Union-Jackson,RUV,Residential Urban Villages,5030,6248,6003,-245,5211,-792,4883,-328,4859,-24,5563,704,4791,-772,4403,-388,4385,-18,4419,34,4269,-150,4589,320,4624,35,4848,224,4913,65,4657,-256,4655,-2,4844,189,5636,792
3,Admiral,RUV,Residential Urban Villages,882,1089,1044,-45,1072,28,1118,46,1149,31,1263,114,1289,26,1439,150,1408,-31,1419,11,1400,-19,1384,-16,1275,-109,1312,37,1390,78,1446,56,1461,15,1521,60,1418,-103
4,Aurora-Licton Springs,RUV,Residential Urban Villages,2734,2857,2987,130,2696,-291,2782,86,2736,-46,2601,-135,2824,223,2969,145,2677,-292,2452,-225,2334,-118,1966,-368,2025,59,2176,151,2218,42,2288,70,2312,24,2375,63,2361,-14
5,Ballard,HUV,Hub Urban Villages,4699,5126,5296,170,5295,-1,5590,295,5329,-261,5331,2,5824,493,5893,69,5675,-218,5341,-334,5447,106,5123,-324,5334,211,6698,1364,7199,501,7654,455,8080,426,7537,-543,8081,544
6,Ballard-Interbay-Northend,MIC,Manufacturing Industrial Centers,14726,15162,16144,982,14968,-1176,16214,1246,15252,-962,15252,0,14415,-837,14603,188,15255,652,14458,-797,14205,-253,14777,572,15462,685,16101,639,16308,207,17874,1566,17487,-387,17633,146,16306,-1327
7,Belltown,UCV,Urban Centers,17382,23526,23705,179,20645,-3060,20027,-618,19966,-61,19106,-860,19650,544,20979,1329,19873,-1106,19271,-602,17988,-1283,18740,752,18510,-230,18298,-212,18647,349,20699,2052,20743,44,21565,822,22499,934
8,Bitter Lake Village,HUV,Hub Urban Villages,3145,4315,4311,-4,4149,-162,3796,-353,3811,15,3633,-178,3665,32,3338,-327,3338,0,3307,-31,3100,-207,3543,443,3394,-149,3562,168,3549,-13,4186,637,4022,-164,4494,472,4415,-79
9,Capitol Hill,UCV,Urban Centers,6986,7848,7739,-109,7696,-43,7340,-356,7471,131,7408,-63,6674,-734,5417,-1257,5449,32,5288,-161,5444,156,5548,104,5576,28,5962,386,5770,-192,6039,269,6324,285,6420,96,6431,11
10,Chinatown-International District,UCV,Urban Centers,4099,4858,4505,-353,5562,1057,5737,175,6200,463,6328,128,6644,316,6870,226,7512,642,7730,218,7739,9,7840,101,7608,-232,7507,-101,8327,820,10187,1860,11372,1185,11195,-177,11145,-50
11,Columbia City,RUV,Residential Urban Villages,1567,1443,1527,84,1557,30,1579,22,1904,325,2121,217,2275,154,2320,45,2435,115,2555,120,1902,-653,2242,340,2419,177,2492,73,2532,40,2546,14,2824,278,2901,77,3203,302
12,Commercial Core,UCV,Urban Centers,90375,100706,99389,-1317,91329,-8060,87121,-4208,85319,-1802,84539,-780,85179,640,87814,2635,94090,6276,86611,-7479,84080,-2531,86884,2804,90166,3282,94742,4576,92205,-2537,94718,2513,98295,3577,102008,3713,105531,3523
