end_address,end_lat,end_lon,zip,step
"1 Bellis Fair Pkwy, Bellingham, WA 98226, USA",48.0917543,-122.1857114,98226.0,15
"100 112th Ave NE, Bellevue, WA 98004, USA",47.6071107,-122.3338507,98004.0,12
"100 112th Ave NE, Bellevue, WA 98004, USA",47.6136335,-122.3410064,98004.0,12
"100 112th Ave NE, Bellevue, WA 98004, USA",47.6180792,-122.3375439,98004.0,21
"1000 1st Ave, Seattle, WA 98104, USA",47.4444704,-122.2913078,98104.0,13
"1000 1st Ave, Seattle, WA 98104, USA",47.5423197,-121.8366769,98104.0,16
"1000 1st Ave, Seattle, WA 98104, USA",47.6026694,-122.3373788,98104.0,4
"1000 1st Ave, Seattle, WA 98104, USA",47.603618,-122.3321673,98104.0,4
"1000 1st Ave, Seattle, WA 98104, USA",47.6052057,-122.3397437,98104.0,4
"1000 1st Ave, Seattle, WA 98104, USA",47.6063821,-122.3322283,98104.0,5
"1000 1st Ave, Seattle, WA 98104, USA",47.6071107,-122.3338507,98104.0,4
"1000 1st Ave, Seattle, WA 98104, USA",47.6072677,-122.1894233,98104.0,13
"1000 1st Ave, Seattle, WA 98104, USA",47.6109794,-122.1901304,98104.0,16
"1000 1st Ave, Seattle, WA 98104, USA",47.6136335,-122.3410064,98104.0,4
"1000 1st Ave, Seattle, WA 98104, USA",47.6156004,-122.2008899,98104.0,12
"1000 1st Ave, Seattle, WA 98104, USA",47.6180792,-122.3375439,98104.0,8
"1000 1st Ave, Seattle, WA 98104, USA",47.62017119999999,-122.3492968,98104.0,4
"1000 1st Ave, Seattle, WA 98104, USA",47.6203244,-122.3436986,98104.0,7
"1000 1st Ave, Seattle, WA 98104, USA",47.6203717,-122.3593736,98104.0,7
"1000 1st Ave, Seattle, WA 98104, USA",47.8124792,-122.382897,98104.0,9
"1000 1st Ave, Seattle, WA 98104, USA",47.9487436,-122.304276,98104.0,7
"1000 4th Ave, Seattle, WA 98104, USA",47.435593,-122.2930078,98104.0,11
"1000 4th Ave, Seattle, WA 98104, USA",47.4405843,-122.2975586,98104.0,10
"1000 4th Ave, Seattle, WA 98104, USA",47.4428844,-122.2273761,98104.0,14
"1000 4th Ave, Seattle, WA 98104, USA",47.443304,-122.3016038,98104.0,10
"1000 4th Ave, Seattle, WA 98104, USA",47.4443233,-122.2953966,98104.0,11
"1000 4th Ave, Seattle, WA 98104, USA",47.4444704,-122.2913078,98104.0,13
"1000 4th Ave, Seattle, WA 98104, USA",47.5423197,-121.8366769,98104.0,16
"1000 4th Ave, Seattle, WA 98104, USA",47.6023223,-122.3378325,98104.0,6
"1000 4th Ave, Seattle, WA 98104, USA",47.6026694,-122.3373788,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.603618,-122.3321673,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.6042444,-122.3388687,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.6049169,-122.3364675,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.6052057,-122.3397437,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.6063821,-122.3322283,98104.0,3
"1000 4th Ave, Seattle, WA 98104, USA",47.60690719999999,-122.3305959,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.6071107,-122.3338507,98104.0,2
"1000 4th Ave, Seattle, WA 98104, USA",47.6072677,-122.1894233,98104.0,13
"1000 4th Ave, Seattle, WA 98104, USA",47.607654,-122.3338695,98104.0,5
"1000 4th Ave, Seattle, WA 98104, USA",47.6076645,-122.339495,98104.0,3
"1000 4th Ave, Seattle, WA 98104, USA",47.6077009,-122.3344156,98104.0,2
"1000 4th Ave, Seattle, WA 98104, USA",47.6083417,-122.3322536,98104.0,5
"1000 4th Ave, Seattle, WA 98104, USA",47.6100971,-122.3350631,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.6106084,-122.3339786,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.61095160000001,-122.3473434,98104.0,5
"1000 4th Ave, Seattle, WA 98104, USA",47.6109794,-122.1901304,98104.0,16
"1000 4th Ave, Seattle, WA 98104, USA",47.6118286,-122.3361314,98104.0,5
"1000 4th Ave, Seattle, WA 98104, USA",47.6119853,-122.333716,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.6126551,-122.3525398,98104.0,9
"1000 4th Ave, Seattle, WA 98104, USA",47.6135347,-122.3388299,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.6136335,-122.3410064,98104.0,2
"1000 4th Ave, Seattle, WA 98104, USA",47.6136992,-122.3337171,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.6141051,-122.3363899,98104.0,6
"1000 4th Ave, Seattle, WA 98104, USA",47.6153625,-122.3419184,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.6156004,-122.2008899,98104.0,12
"1000 4th Ave, Seattle, WA 98104, USA",47.6180792,-122.3375439,98104.0,8
"1000 4th Ave, Seattle, WA 98104, USA",47.61926640000001,-122.2003104,98104.0,11
"1000 4th Ave, Seattle, WA 98104, USA",47.62017119999999,-122.3492968,98104.0,4
"1000 4th Ave, Seattle, WA 98104, USA",47.6203244,-122.3436986,98104.0,5
"1000 4th Ave, Seattle, WA 98104, USA",47.6203717,-122.3593736,98104.0,5
"1000 4th Ave, Seattle, WA 98104, USA",47.6214465,-122.3469544,98104.0,6
"1000 4th Ave, Seattle, WA 98104, USA",47.623809,-122.3209365,98104.0,7
"1000 4th Ave, Seattle, WA 98104, USA",47.6251322,-122.3449769,98104.0,9
"1000 4th Ave, Seattle, WA 98104, USA",47.8124792,-122.382897,98104.0,9
"1000 4th Ave, Seattle, WA 98104, USA",47.9487436,-122.304276,98104.0,7
"1001 Alaskan Way, Seattle, WA 98104, USA",47.435593,-122.2930078,98104.0,8
"1001 Alaskan Way, Seattle, WA 98104, USA",47.4443233,-122.2953966,98104.0,13
"1001 Alaskan Way, Seattle, WA 98104, USA",47.4444704,-122.2913078,98104.0,14
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6023223,-122.3378325,98104.0,4
"1001 Alaskan Way, Seattle, WA 98104, USA",47.603618,-122.3321673,98104.0,6
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6049169,-122.3364675,98104.0,4
"1001 Alaskan Way, Seattle, WA 98104, USA",47.60690719999999,-122.3305959,98104.0,6
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6071107,-122.3338507,98104.0,4
"1001 Alaskan Way, Seattle, WA 98104, USA",47.607654,-122.3338695,98104.0,7
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6076645,-122.339495,98104.0,5
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6083417,-122.3322536,98104.0,5
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6100971,-122.3350631,98104.0,6
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6106084,-122.3339786,98104.0,6
"1001 Alaskan Way, Seattle, WA 98104, USA",47.61095160000001,-122.3473434,98104.0,3
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6119853,-122.333716,98104.0,6
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6135347,-122.3388299,98104.0,6
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6136335,-122.3410064,98104.0,6
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6180792,-122.3375439,98104.0,10
"1001 Alaskan Way, Seattle, WA 98104, USA",47.62017119999999,-122.3492968,98104.0,4
"1001 Alaskan Way, Seattle, WA 98104, USA",47.6251322,-122.3449769,98104.0,6
"1007 Stewart St, Seattle, WA 98101, USA",47.44826279999999,-122.2984349,98101.0,9
"1007 Stewart St, Seattle, WA 98101, USA",47.6185886,-122.3509134,98101.0,5
"1007 Stewart St, Seattle, WA 98101, USA",47.6288578,-122.3423083,98101.0,10
"1007 Stewart St, Seattle, WA 98101, USA",47.6334305,-122.3802634,98101.0,12
"10116 NE 8th St, Bellevue, WA 98004, USA",47.44826279999999,-122.2984349,98004.0,10
"10116 NE 8th St, Bellevue, WA 98004, USA",47.6288578,-122.3423083,98004.0,12
"102 Cherry St, Seattle, WA 98104, USA",47.435593,-122.2930078,98104.0,11
"102 Cherry St, Seattle, WA 98104, USA",47.4443233,-122.2953966,98104.0,11
"102 Cherry St, Seattle, WA 98104, USA",47.4444704,-122.2913078,98104.0,13
"102 Cherry St, Seattle, WA 98104, USA",47.6023223,-122.3378325,98104.0,10
"102 Cherry St, Seattle, WA 98104, USA",47.603618,-122.3321673,98104.0,3
"102 Cherry St, Seattle, WA 98104, USA",47.6049169,-122.3364675,98104.0,6
"102 Cherry St, Seattle, WA 98104, USA",47.6064648,-122.3332503,98104.0,3
"102 Cherry St, Seattle, WA 98104, USA",47.60690719999999,-122.3305959,98104.0,5
"102 Cherry St, Seattle, WA 98104, USA",47.6069934,-122.3383605,98104.0,6
"102 Cherry St, Seattle, WA 98104, USA",47.6071107,-122.3338507,98104.0,3
"102 Cherry St, Seattle, WA 98104, USA",47.607654,-122.3338695,98104.0,6
"102 Cherry St, Seattle, WA 98104, USA",47.6076645,-122.339495,98104.0,7
"102 Cherry St, Seattle, WA 98104, USA",47.6083417,-122.3322536,98104.0,6
"102 Cherry St, Seattle, WA 98104, USA",47.6100971,-122.3350631,98104.0,5
"102 Cherry St, Seattle, WA 98104, USA",47.6106084,-122.3339786,98104.0,5
"102 Cherry St, Seattle, WA 98104, USA",47.61095160000001,-122.3473434,98104.0,7
"102 Cherry St, Seattle, WA 98104, USA",47.6119853,-122.333716,98104.0,5
"102 Cherry St, Seattle, WA 98104, USA",47.6135347,-122.3388299,98104.0,5
"102 Cherry St, Seattle, WA 98104, USA",47.6136335,-122.3410064,98104.0,3
"102 Cherry St, Seattle, WA 98104, USA",47.6180792,-122.3375439,98104.0,9
"102 Cherry St, Seattle, WA 98104, USA",47.6185886,-122.3509134,98104.0,4
"102 Cherry St, Seattle, WA 98104, USA",47.62017119999999,-122.3492968,98104.0,5
"102 Cherry St, Seattle, WA 98104, USA",47.6251322,-122.3449769,98104.0,8
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.435593,-122.2930078,98271.0,13
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.4443233,-122.2953966,98271.0,13
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.4444704,-122.2913078,98271.0,15
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6023223,-122.3378325,98271.0,15
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.603618,-122.3321673,98271.0,12
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6049169,-122.3364675,98271.0,12
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6068445,-122.3311121,98271.0,14
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.60691980000001,-122.3321354,98271.0,11
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6071107,-122.3338507,98271.0,12
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.607654,-122.3338695,98271.0,12
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6076645,-122.339495,98271.0,10
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6083417,-122.3322536,98271.0,14
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6100971,-122.3350631,98271.0,13
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6106084,-122.3339786,98271.0,11
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.61095160000001,-122.3473434,98271.0,15
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6119853,-122.333716,98271.0,11
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6136335,-122.3410064,98271.0,11
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.614221,-122.3380349,98271.0,11
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6180792,-122.3375439,98271.0,17
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.62017119999999,-122.3492968,98271.0,13
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.62511800000001,-122.3488961,98271.0,11
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6251322,-122.3449769,98271.0,13
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.0904714,-122.1865016,98271.0,10
"10200 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.09433629999999,-122.1908325,98271.0,16
"104 N Commercial St #4408, Bellingham, WA 98225, USA",48.0917543,-122.1857114,98225.0,13
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.435593,-122.2930078,98383.0,13
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.4443233,-122.2953966,98383.0,14
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.4444704,-122.2913078,98383.0,15
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6023223,-122.3378325,98383.0,17
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.603618,-122.3321673,98383.0,14
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6049169,-122.3364675,98383.0,15
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6068445,-122.3311121,98383.0,14
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.60691980000001,-122.3321354,98383.0,13
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6071107,-122.3338507,98383.0,15
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.607654,-122.3338695,98383.0,12
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6076645,-122.339495,98383.0,15
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6083417,-122.3322536,98383.0,12
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6100971,-122.3350631,98383.0,13
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6106084,-122.3339786,98383.0,11
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.61095160000001,-122.3473434,98383.0,16
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6119853,-122.333716,98383.0,13
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6136335,-122.3410064,98383.0,13
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.614221,-122.3380349,98383.0,11
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6180792,-122.3375439,98383.0,17
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.62017119999999,-122.3492968,98383.0,15
"10516 Silverdale Way NW #130, Silverdale, WA 98383, USA",47.6251322,-122.3449769,98383.0,14
"1053 Lake Washington Blvd N, Renton, WA 98056, USA",47.44826279999999,-122.2984349,98056.0,9
"1053 Lake Washington Blvd N, Renton, WA 98056, USA",47.61429649999999,-122.3338692,98056.0,13
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.4278743,-122.2967685,98271.0,11
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6017428,-122.3352947,98271.0,11
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6063821,-122.3322283,98271.0,10
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6176938,-122.3399395,98271.0,12
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.6203244,-122.3436986,98271.0,11
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",47.7079287,-122.1795666,98271.0,13
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.0741299,-122.1824412,98271.0,5
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.1085995,-122.7723054,98271.0,22
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.11530639999999,-122.7634382,98271.0,22
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.1178193,-122.7568494,98271.0,23
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.16039,-122.6742028,98271.0,17
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.3068544,-122.6441797,98271.0,30
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.3088935,-122.6415198,98271.0,15
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.30985700000001,-122.6407859,98271.0,14
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.3917082,-122.4893391,98271.0,17
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.3933482,-122.4958216,98271.0,17
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.4359542,-122.3439105,98271.0,8
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.4390526,-122.3354549,98271.0,10
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.4418622,-122.3362903,98271.0,10
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.4507738,-122.333049,98271.0,11
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.4507935,-122.3345936,98271.0,10
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.4545247,-122.5076485,98271.0,12
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.4662965,-122.3439337,98271.0,12
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.49316349999999,-122.6844072,98271.0,17
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.5066582,-122.678475,98271.0,24
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.5099426,-122.3391224,98271.0,13
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.5184984,-122.6125139,98271.0,14
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.5295205,-123.0216936,98271.0,25
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.53152679999999,-123.0239558,98271.0,24
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.5352931,-123.0143546,98271.0,20
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.5355745,-123.0157245,98271.0,23
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.5984448,-122.9460483,98271.0,22
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.7432379,-122.4655595,98271.0,10
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.7456126,-122.4638153,98271.0,8
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.7543264,-122.496666,98271.0,14
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.7951962,-122.4848525,98271.0,8
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.79672619999999,-122.4855756,98271.0,9
"10600 Quil Ceda Blvd, Tulalip, WA 98271, USA",48.83656990000001,-122.5661727,98271.0,9
"10800 Vashon Hwy SW, Vashon, WA 98070, USA",47.240286,-122.4112362,98070.0,15
"10800 Vashon Hwy SW, Vashon, WA 98070, USA",47.3159236,-122.3000278,98070.0,15
"10800 Vashon Hwy SW, Vashon, WA 98070, USA",47.41580829999999,-122.2976023,98070.0,25
"10800 Vashon Hwy SW, Vashon, WA 98070, USA",47.4327209,-122.2976565,98070.0,19
"108th Ave NE, Bellevue, WA, USA",47.44826279999999,-122.2984349,98117.0,12
"108th Ave NE, Bellevue, WA, USA",47.6152935,-122.3339057,98117.0,11
"108th Ave NE, Bellevue, WA, USA",47.62511800000001,-122.3488961,98117.0,10
"108th Ave NE, Bellevue, WA, USA",47.6288578,-122.3423083,98117.0,10
"108th Ave NE, Bellevue, WA, USA",47.6334305,-122.3802634,98117.0,16
"109 S Washington St, Seattle, WA 98104, USA",47.435593,-122.2930078,98104.0,13
"109 S Washington St, Seattle, WA 98104, USA",47.4443233,-122.2953966,98104.0,16
"109 S Washington St, Seattle, WA 98104, USA",47.4444704,-122.2913078,98104.0,17
"109 S Washington St, Seattle, WA 98104, USA",47.6023223,-122.3378325,98104.0,7
"109 S Washington St, Seattle, WA 98104, USA",47.603618,-122.3321673,98104.0,5
"109 S Washington St, Seattle, WA 98104, USA",47.6049169,-122.3364675,98104.0,3
"109 S Washington St, Seattle, WA 98104, USA",47.6064648,-122.3332503,98104.0,3
"109 S Washington St, Seattle, WA 98104, USA",47.60690719999999,-122.3305959,98104.0,5
"109 S Washington St, Seattle, WA 98104, USA",47.6071107,-122.3338507,98104.0,3
"109 S Washington St, Seattle, WA 98104, USA",47.607654,-122.3338695,98104.0,6
"109 S Washington St, Seattle, WA 98104, USA",47.6076645,-122.339495,98104.0,4
"109 S Washington St, Seattle, WA 98104, USA",47.6083417,-122.3322536,98104.0,6
"109 S Washington St, Seattle, WA 98104, USA",47.6100971,-122.3350631,98104.0,5
"109 S Washington St, Seattle, WA 98104, USA",47.6106084,-122.3339786,98104.0,5
"109 S Washington St, Seattle, WA 98104, USA",47.61095160000001,-122.3473434,98104.0,6
"109 S Washington St, Seattle, WA 98104, USA",47.6119853,-122.333716,98104.0,5
"109 S Washington St, Seattle, WA 98104, USA",47.6135347,-122.3388299,98104.0,5
"109 S Washington St, Seattle, WA 98104, USA",47.6136335,-122.3410064,98104.0,3
"109 S Washington St, Seattle, WA 98104, USA",47.6180792,-122.3375439,98104.0,9
"109 S Washington St, Seattle, WA 98104, USA",47.6185886,-122.3509134,98104.0,5
"109 S Washington St, Seattle, WA 98104, USA",47.62017119999999,-122.3492968,98104.0,7
"109 S Washington St, Seattle, WA 98104, USA",47.6251322,-122.3449769,98104.0,11
"1100 9th Ave, Seattle, WA 98101, USA",47.44826279999999,-122.2984349,98101.0,14
"1100 9th Ave, Seattle, WA 98101, USA",47.61429649999999,-122.3338692,98101.0,5
"1100 9th Ave, Seattle, WA 98101, USA",47.6185886,-122.3509134,98101.0,6
"1100 9th Ave, Seattle, WA 98101, USA",47.6288578,-122.3423083,98101.0,9
"1100 9th Ave, Seattle, WA 98101, USA",47.6334305,-122.3802634,98101.0,13
"1100 Fairview Ave N, Seattle, WA 98109, USA",47.44826279999999,-122.2984349,98109.0,8
"1100 Fairview Ave N, Seattle, WA 98109, USA",47.6152935,-122.3339057,98109.0,5
"1100 Fairview Ave N, Seattle, WA 98109, USA",47.62511800000001,-122.3488961,98109.0,5
"1100 Fairview Ave N, Seattle, WA 98109, USA",47.6288578,-122.3423083,98109.0,6
"1101 4th Ave, Seattle, WA 98101, USA",47.6180792,-122.3375439,98101.0,8
"1101 4th Ave, Seattle, WA 98101, USA",47.6203244,-122.3436986,98101.0,5
"1101 Alaskan Way Pier 55, Suite 201, Seattle, WA 98101, USA",47.4444704,-122.2913078,98101.0,14
"1101 Alaskan Way Pier 55, Suite 201, Seattle, WA 98101, USA",47.6071107,-122.3338507,98101.0,4
"1101 Alaskan Way Pier 55, Suite 201, Seattle, WA 98101, USA",47.6136335,-122.3410064,98101.0,5
"1101 Alaskan Way Pier 55, Suite 201, Seattle, WA 98101, USA",47.6180792,-122.3375439,98101.0,9
"1101 Dexter Ave N, Seattle, WA 98109, USA",47.44826279999999,-122.2984349,98109.0,11
"1101 Dexter Ave N, Seattle, WA 98109, USA",47.5034071,-122.2051062,98109.0,16
"1101 Dexter Ave N, Seattle, WA 98109, USA",47.6150561,-122.3334923,98109.0,5
"1101 Dexter Ave N, Seattle, WA 98109, USA",47.6155276,-122.3362592,98109.0,7
"1101 Dexter Ave N, Seattle, WA 98109, USA",47.6158818,-122.3368492,98109.0,5
"1101 Dexter Ave N, Seattle, WA 98109, USA",47.61640449999999,-122.3437112,98109.0,5
"1101 Dexter Ave N, Seattle, WA 98109, USA",47.61656929999999,-122.3340774,98109.0,6
"1101 Dexter Ave N, Seattle, WA 98109, USA",47.6181989,-122.3388015,98109.0,4
"1101 Dexter Ave N, Seattle, WA 98109, USA",47.6215148,-122.3384481,98109.0,4
"1101 Dexter Ave N, Seattle, WA 98109, USA",47.6292795,-122.1476037,98109.0,15
"1101 Dexter Ave N, Seattle, WA 98109, USA",47.9076394,-122.272614,98109.0,11
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.239863,-122.4119304,98001.0,16
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.3159236,-122.3000278,98001.0,13
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.41580829999999,-122.2976023,98001.0,16
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.4259492,-122.2970961,98001.0,17
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.4264267,-122.2975981,98001.0,18
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.4327209,-122.2976565,98001.0,17
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.4354746,-122.2971112,98001.0,16
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.435593,-122.2930078,98001.0,15
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.4403712,-122.2952919,98001.0,17
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.4443233,-122.2953966,98001.0,16
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.4444704,-122.2913078,98001.0,17
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.4513278,-122.2950592,98001.0,16
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.4525436,-122.2952177,98001.0,15
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.45460449999999,-122.2608914,98001.0,15
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.4599124,-122.2442464,98001.0,12
"1101 Super Mall Way, Suite 901, Auburn, WA 98001, USA",47.4633319,-122.2195008,98001.0,15
