route_link,modified_date,origin_string,destination_string
https://www.lyft.com/rider/routes/the-westin-downtown-seattle-to-google-building-n34th501,2019-11-22,the+westin+downtown+seattle,google+building+n34th501
https://www.lyft.com/rider/routes/amazon-oscar-to-seattle-center,2019-11-22,amazon+oscar,seattle+center
https://www.lyft.com/rider/routes/amazon-oscar-to-seattle-cruise-terminal,2019-11-22,amazon+oscar,seattle+cruise+terminal
https://www.lyft.com/rider/routes/hyatt-regency-seattle-to-amazon-nessie,2019-11-22,hyatt+regency+seattle,amazon+nessie
https://www.lyft.com/rider/routes/hyatt-regency-seattle-to-3rd-ave-transit-corridor,2019-11-22,hyatt+regency+seattle,3rd+ave+transit+corridor
https://www.lyft.com/rider/routes/hyatt-regency-seattle-to-boren-ave-n,2019-11-22,hyatt+regency+seattle,boren+ave+n
https://www.lyft.com/rider/routes/facebook-seattle-to-tesla-service-bellevue,2019-11-22,facebook+seattle,tesla+service+bellevue
https://www.lyft.com/rider/routes/swedish-cherry-hill-campus-to-seattle-tacoma-intl-airport,2019-11-22,swedish+cherry+hill+campus,seattle+tacoma+intl+airport
https://www.lyft.com/rider/routes/othello-station-to-seattle-center,2019-11-22,othello+station,seattle+center
https://www.lyft.com/rider/routes/odegaard-library-to-seattle-tacoma-intl-airport,2019-11-22,odegaard+library,seattle+tacoma+intl+airport
https://www.lyft.com/rider/routes/fred-hutch-center-to-hyatt-regency-seattle,2019-11-22,fred+hutch+center,hyatt+regency+seattle
https://www.lyft.com/rider/routes/the-westin-downtown-seattle-to-boren-ave-n,2019-11-22,the+westin+downtown+seattle,boren+ave+n
https://www.lyft.com/rider/routes/seattle-childrens-hospital-to-amazon-oscar,2019-11-22,seattle+childrens+hospital,amazon+oscar
https://www.lyft.com/rider/routes/seattle-childrens-hospital-to-3rd-ave-transit-corridor,2019-11-22,seattle+childrens+hospital,3rd+ave+transit+corridor
https://www.lyft.com/rider/routes/seattle-childrens-hospital-to-amazon-alexandria,2019-11-22,seattle+childrens+hospital,amazon+alexandria
https://www.lyft.com/rider/routes/tacoma-dome-to-seattle-tacoma-intl-airport,2019-11-22,tacoma+dome,seattle+tacoma+intl+airport
https://www.lyft.com/rider/routes/union-station-seattle-to-fred-hutch-center,2019-11-22,union+station+seattle,fred+hutch+center
https://www.lyft.com/rider/routes/seattle-childrens-hospital-to-amazon-port-99,2019-11-22,seattle+childrens+hospital,amazon+port+99
https://www.lyft.com/rider/routes/facebook-seattle-to-amazon-otter,2019-11-22,facebook+seattle,amazon+otter
https://www.lyft.com/rider/routes/southcenter-mall-to-facebook-seattle,2019-11-22,southcenter+mall,facebook+seattle
https://www.lyft.com/rider/routes/amazon-otter-to-seattle-tacoma-intl-airport,2019-11-22,amazon+otter,seattle+tacoma+intl+airport
https://www.lyft.com/rider/routes/kaiser-permanente-capitol-hill-campus-to-facebook-seattle,2019-11-22,kaiser+permanente+capitol+hill+campus,facebook+seattle
https://www.lyft.com/rider/routes/overlake-medical-center-clinics-to-seattle-center,2019-11-22,overlake+medical+center+clinics,seattle+center
https://www.lyft.com/rider/routes/hyatt-regency-seattle-to-tesla-service-bellevue,2019-11-22,hyatt+regency+seattle,tesla+service+bellevue
https://www.lyft.com/rider/routes/odegaard-library-to-seattle-center,2019-11-22,odegaard+library,seattle+center
https://www.lyft.com/rider/routes/seattle-tacoma-intl-airport-to-tesla-service-bellevue,2019-11-22,seattle+tacoma+intl+airport,tesla+service+bellevue
https://www.lyft.com/rider/routes/the-bellevue-collection-to-facebook-seattle,2019-11-22,the+bellevue+collection,facebook+seattle
https://www.lyft.com/rider/routes/uw-medical-center-to-seattle-center,2019-11-22,uw+medical+center,seattle+center
https://www.lyft.com/rider/routes/slu-streetcar-only-lane-to-hyatt-regency-seattle,2019-11-22,slu+streetcar+only+lane,hyatt+regency+seattle
https://www.lyft.com/rider/routes/the-westin-downtown-seattle-to-amazon-kumo,2019-11-22,the+westin+downtown+seattle,amazon+kumo
https://www.lyft.com/rider/routes/westlake-ave-and-olive-way-to-facebook-seattle,2019-11-22,westlake+ave+and+olive+way,facebook+seattle
https://www.lyft.com/rider/routes/amazon-kumo-to-seattle-center,2019-11-22,amazon+kumo,seattle+center
https://www.lyft.com/rider/routes/amazon-fiona-obidos-to-facebook-seattle,2019-11-22,amazon+fiona+obidos,facebook+seattle
https://www.lyft.com/rider/routes/union-station-seattle-to-seattle-tacoma-intl-airport,2019-11-22,union+station+seattle,seattle+tacoma+intl+airport
https://www.lyft.com/rider/routes/tukwila-international-blvd-station-to-seattle-tacoma-intl-airport,2019-11-22,tukwila+international+blvd+station,seattle+tacoma+intl+airport
https://www.lyft.com/rider/routes/the-westin-downtown-seattle-to-seattle-tacoma-intl-airport,2019-11-22,the+westin+downtown+seattle,seattle+tacoma+intl+airport
https://www.lyft.com/rider/routes/capitol-hill-station-to-facebook-seattle,2019-11-22,capitol+hill+station,facebook+seattle
https://www.lyft.com/rider/routes/swedish-cherry-hill-campus-to-facebook-seattle,2019-11-22,swedish+cherry+hill+campus,facebook+seattle
https://www.lyft.com/rider/routes/the-westin-downtown-seattle-to-google-kirkland-building-a,2019-11-22,the+westin+downtown+seattle,google+kirkland+building+a
https://www.lyft.com/rider/routes/the-westin-downtown-seattle-to-amazon-triumph-w,2019-11-22,the+westin+downtown+seattle,amazon+triumph+w
https://www.lyft.com/rider/routes/union-station-seattle-to-seattle-center,2019-11-22,union+station+seattle,seattle+center
https://www.lyft.com/rider/routes/va-puget-sound-to-seattle-center,2019-11-22,va+puget+sound,seattle+center
https://www.lyft.com/rider/routes/northwest-hospital-to-facebook-seattle,2019-11-22,northwest+hospital,facebook+seattle
https://www.lyft.com/rider/routes/google-bellevue-112-to-facebook-seattle,2019-11-22,google+bellevue+112,facebook+seattle
https://www.lyft.com/rider/routes/the-westin-downtown-seattle-to-signature-flight-support-fka-landmark-kbfi,2019-11-22,the+westin+downtown+seattle,signature+flight+support+fka+landmark+kbfi
https://www.lyft.com/rider/routes/the-westin-downtown-seattle-to-amazon-roxanne,2019-11-22,the+westin+downtown+seattle,amazon+roxanne
https://www.lyft.com/rider/routes/google-kirkland-building-a-to-seattle-center,2019-11-22,google+kirkland+building+a,seattle+center
https://www.lyft.com/rider/routes/amazon-day-1-to-hyatt-regency-seattle,2019-11-22,amazon+day+1,hyatt+regency+seattle
https://www.lyft.com/rider/routes/safeway-to-facebook-seattle,2019-11-22,safeway,facebook+seattle
https://www.lyft.com/rider/routes/amazon-mayday-to-facebook-seattle,2019-11-22,amazon+mayday,facebook+seattle
https://www.lyft.com/rider/routes/seattle-center-to-google-building-n34th501,2019-11-22,seattle+center,google+building+n34th501
https://www.lyft.com/rider/routes/facebook-seattle-to-amazon-alexandria,2019-11-22,facebook+seattle,amazon+alexandria
https://www.lyft.com/rider/routes/seattle-cruise-terminal-to-seattle-tacoma-intl-airport,2019-11-22,seattle+cruise+terminal,seattle+tacoma+intl+airport
https://www.lyft.com/rider/routes/signature-flight-support-fka-landmark-kbfi-to-hyatt-regency-seattle,2019-11-22,signature+flight+support+fka+landmark+kbfi,hyatt+regency+seattle
https://www.lyft.com/rider/routes/signature-flight-support-fka-landmark-kbfi-to-seattle-tacoma-intl-airport,2019-11-22,signature+flight+support+fka+landmark+kbfi,seattle+tacoma+intl+airport
https://www.lyft.com/rider/routes/marymoor-park-to-hyatt-regency-seattle,2019-11-22,marymoor+park,hyatt+regency+seattle
https://www.lyft.com/rider/routes/amazon-triumph-w-to-seattle-center,2019-11-22,amazon+triumph+w,seattle+center
https://www.lyft.com/rider/routes/amazon-port-99-to-seattle-tacoma-intl-airport,2019-11-22,amazon+port+99,seattle+tacoma+intl+airport
https://www.lyft.com/rider/routes/the-westin-downtown-seattle-to-amazon-mayday,2019-11-22,the+westin+downtown+seattle,amazon+mayday
https://www.lyft.com/rider/routes/the-westin-downtown-seattle-to-amazon-nessie,2019-11-22,the+westin+downtown+seattle,amazon+nessie
https://www.lyft.com/rider/routes/fred-hutch-center-to-facebook-seattle,2019-11-22,fred+hutch+center,facebook+seattle
https://www.lyft.com/rider/routes/the-westin-downtown-seattle-to-amazon-coral,2019-11-22,the+westin+downtown+seattle,amazon+coral
https://www.lyft.com/rider/routes/hyatt-regency-seattle-to-facebook-seattle,2019-11-22,hyatt+regency+seattle,facebook+seattle
https://www.lyft.com/rider/routes/hyatt-regency-seattle-to-amazon-coral,2019-11-22,hyatt+regency+seattle,amazon+coral
https://www.lyft.com/rider/routes/amazon-stackhouse-to-seattle-center,2019-11-22,amazon+stackhouse,seattle+center
https://www.lyft.com/rider/routes/northwest-hospital-to-seattle-center,2019-11-22,northwest+hospital,seattle+center
