ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,perc_change,strike,volume
0.00,150.85,0.00,,"June 18, 2021",0,2020-08-03 3:35PM EDT,3,,,
0.00,102.00,0.00,,"June 18, 2021",6,2020-07-09 4:58PM EDT,1,,,
140.30,138.75,142.40,,"June 18, 2021",16,2020-07-07 11:16AM EDT,2,,,
0.00,133.43,0.00,,"June 18, 2021",0,2020-08-05 1:16PM EDT,2,,,
0.00,117.60,0.00,,"June 18, 2021",0,2020-07-28 3:34PM EDT,4,,,
0.00,111.50,0.00,,"June 18, 2021",0,2020-07-24 3:25PM EDT,1,,,
108.30,102.90,109.35,,"June 18, 2021",797,2020-06-29 11:33AM EDT,2,,,
0.00,113.65,0.00,,"June 18, 2021",0,2020-08-07 11:58AM EDT,1,,,
0.00,106.03,0.00,,"June 18, 2021",0,2020-08-04 11:40AM EDT,23,,,
0.00,54.55,0.00,,"July 16, 2021",-,2020-08-07 3:59PM EDT,1,,,
0.00,47.35,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,2,,,
0.00,103.98,0.00,,"June 18, 2021",0,2020-08-05 11:41AM EDT,1,,,
101.45,101.00,103.50,,"June 18, 2021",376,2020-07-07 11:07AM EDT,5,,,
0.00,92.92,0.00,,"June 18, 2021",0,2020-08-07 1:23PM EDT,2,,,
0.00,90.00,0.00,,"June 18, 2021",0,2020-08-07 3:48PM EDT,5,,,
0.00,29.65,0.00,,"July 16, 2021",-,2020-08-07 2:58PM EDT,1,,,
0.00,28.30,0.00,,"July 16, 2021",-,2020-08-07 12:46PM EDT,8,,,
0.00,25.50,0.00,,"July 16, 2021",-,2020-08-07 1:41PM EDT,2,,,
0.00,21.25,0.00,,"July 16, 2021",-,2020-08-07 2:30PM EDT,10,,,
0.00,18.05,0.00,,"July 16, 2021",-,2020-08-07 3:57PM EDT,"11,014",,,
0.00,10.50,0.00,,"July 16, 2021",-,2020-08-07 10:20AM EDT,1,,,
0.00,45.00,0.00,,"August 14, 2020",0,2020-08-06 2:10PM EDT,2,,,
0.00,38.37,0.00,,"August 14, 2020",0,2020-08-07 12:24PM EDT,13,,,
0.00,35.26,0.00,,"August 14, 2020",0,2020-08-07 12:59PM EDT,34,,,
0.00,31.90,0.00,,"August 14, 2020",0,2020-08-07 3:00PM EDT,5,,,
0.00,21.76,0.00,,"August 14, 2020",0,2020-07-31 3:52PM EDT,1,,,
0.00,26.40,0.00,,"August 14, 2020",0,2020-08-07 2:47PM EDT,24,,,
0.00,25.50,0.00,,"August 14, 2020",0,2020-08-07 12:07PM EDT,1,,,
0.00,88.10,0.00,,"June 18, 2021",0,2020-08-06 3:52PM EDT,1,,,
0.00,69.12,0.00,,"June 18, 2021",0,2020-07-31 1:25PM EDT,5,,,
0.00,78.00,0.00,,"June 18, 2021",0,2020-08-07 11:40AM EDT,4,,,
0.00,73.65,0.00,,"June 18, 2021",0,2020-08-03 3:14PM EDT,6,,,
0.00,69.25,0.00,,"June 18, 2021",0,2020-08-07 10:24AM EDT,1,,,
0.00,65.20,0.00,,"June 18, 2021",0,2020-08-07 11:27AM EDT,2,,,
0.00,59.70,0.00,,"June 18, 2021",0,2020-08-07 3:37PM EDT,2,,,
0.00,56.30,0.00,,"June 18, 2021",0,2020-08-07 3:31PM EDT,11,,,
0.00,112.10,0.00,,"September 17, 2021",0,2020-08-04 2:52PM EDT,2,,,
0.00,7.90,0.00,,"July 16, 2021",-,2020-08-07 12:10PM EDT,1,,,
0.00,4.15,0.00,,"July 16, 2021",-,2020-08-07 2:54PM EDT,2,,,
0.00,11.90,0.00,,"July 16, 2021",-,2020-08-07 12:00PM EDT,15,,,
0.00,13.25,0.00,,"July 16, 2021",-,2020-08-07 11:59AM EDT,28,,,
0.00,14.70,0.00,,"July 16, 2021",-,2020-08-07 11:39AM EDT,72,,,
0.00,16.45,0.00,,"July 16, 2021",-,2020-08-07 11:38AM EDT,146,,,
0.00,126.09,0.00,,"March 18, 2022",0,2020-07-23 12:35PM EDT,2,,,
0.00,22.60,0.00,,"August 14, 2020",0,2020-08-07 3:53PM EDT,70,,,
0.00,20.25,0.00,,"August 14, 2020",0,2020-08-07 3:50PM EDT,7,,,
0.00,17.25,0.00,,"August 14, 2020",0,2020-08-07 3:20PM EDT,4,,,
0.00,15.00,0.00,,"August 14, 2020",0,2020-08-07 3:37PM EDT,34,,,
0.00,12.85,0.00,,"August 14, 2020",0,2020-08-07 3:55PM EDT,219,,,
0.00,53.05,0.00,,"June 18, 2021",0,2020-08-07 3:50PM EDT,2,,,
0.00,49.50,0.00,,"June 18, 2021",0,2020-08-05 2:26PM EDT,2,,,
0.00,45.00,0.00,,"June 18, 2021",0,2020-08-07 1:13PM EDT,22,,,
0.00,42.79,0.00,,"June 18, 2021",0,2020-08-07 12:11PM EDT,3,,,
0.00,39.54,0.00,,"June 18, 2021",0,2020-08-07 3:42PM EDT,12,,,
0.00,134.51,0.00,,"June 17, 2022",0,2020-08-04 9:30AM EDT,2,,,
