ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,option_type,perc_change,strike,volume
13.90,13.40,15.00,GRPN200925C00011000,"September 25, 2020",1,2020-08-07 10:23AM EDT,1,call,0.00,11.00,-
10.25,11.00,11.05,GRPN200925C00015000,"September 25, 2020",1,2020-08-07 2:01PM EDT,1,call,0.00,15.00,-
9.40,8.40,10.45,GRPN200925C00016000,"September 25, 2020",1,2020-08-07 10:19AM EDT,3,call,0.00,16.00,-
4.30,4.60,5.05,GRPN200925C00023000,"September 25, 2020",1,2020-08-10 10:38AM EDT,1,call,+1.05,23.00,+29.58%
4.05,4.26,4.40,GRPN200925C00024000,"September 25, 2020",13,2020-08-10 10:55AM EDT,3,call,+0.05,24.00,+1.19%
3.40,3.40,3.95,GRPN200925C00025000,"September 25, 2020",47,2020-08-07 3:50PM EDT,3,call,-0.40,25.00,-10.53%
2.85,3.65,3.55,GRPN200925C00026000,"September 25, 2020",1,2020-08-07 2:29PM EDT,1,call,0.00,26.00,-
1.64,2.35,2.40,GRPN200925C00030000,"September 25, 2020",1,2020-08-10 9:52AM EDT,5,call,-0.02,30.00,-0.84%
0.96,1.54,2.21,GRPN200925C00033000,"September 25, 2020",-,2020-08-07 1:59PM EDT,22,call,0.00,33.00,-
0.04,0.47,0.79,GRPN200925P00012500,"September 25, 2020",1,2020-08-07 1:27PM EDT,1,put,0.00,12.50,-
0.32,0.47,0.87,GRPN200925P00014000,"September 25, 2020",5,2020-08-07 9:44AM EDT,5,put,0.00,14.00,-
0.19,0.53,0.85,GRPN200925P00015000,"September 25, 2020",6,2020-08-07 12:27PM EDT,6,put,0.00,15.00,-
0.60,0.91,1.27,GRPN200925P00017000,"September 25, 2020",0,2020-08-07 12:35PM EDT,2,put,0.00,17.00,-
0.61,1.00,1.50,GRPN200925P00018000,"September 25, 2020",4,2020-08-07 2:41PM EDT,4,put,0.00,18.00,-
0.93,1.54,1.82,GRPN200925P00019500,"September 25, 2020",1,2020-08-07 10:45AM EDT,1,put,-0.20,19.50,-11.49%
1.85,2.50,2.46,GRPN200925P00021500,"September 25, 2020",1,2020-08-07 11:27AM EDT,1,put,0.00,21.50,-
0.00,1.00,0.00,GRPN201016C00000500,"October 16, 2020",0,2020-06-10 3:46PM EDT,29,call,0.00,0.50,-
2.08,2.50,2.83,GRPN200925P00023000,"September 25, 2020",4,2020-08-07 11:51AM EDT,2,put,-0.79,23.00,-24.01%
2.75,2.88,3.20,GRPN200925P00024000,"September 25, 2020",2,2020-08-10 11:46AM EDT,3,put,-1.07,24.00,-27.09%
2.99,4.00,3.70,GRPN200925P00025000,"September 25, 2020",10,2020-08-07 3:47PM EDT,10,put,0.00,25.00,-
3.90,4.60,4.95,GRPN200925P00027000,"September 25, 2020",12,2020-08-07 1:59PM EDT,12,put,0.00,27.00,-
12.85,10.50,14.00,GRPN200904C00012000,"September 4, 2020",0,2020-08-07 9:43AM EDT,2,call,0.00,12.00,-
0.00,0.63,0.00,GRPN201016C00001000,"October 16, 2020",0,2020-06-10 3:31PM EDT,183,call,0.00,1.00,-
0.00,0.44,0.00,GRPN201016C00001500,"October 16, 2020",0,2020-06-10 3:27PM EDT,200,call,0.00,1.50,-
0.00,0.32,0.00,GRPN201016C00002000,"October 16, 2020",0,2020-06-10 2:47PM EDT,174,call,0.00,2.00,-
0.00,0.22,0.00,GRPN201016C00002500,"October 16, 2020",0,2020-06-10 3:42PM EDT,153,call,0.00,2.50,-
21.75,22.15,22.65,GRPN201016C00003000,"October 16, 2020",3,2020-08-07 10:21AM EDT,3,call,+1.00,3.00,+4.73%
0.00,0.11,0.00,GRPN201016C00003500,"October 16, 2020",0,2020-06-10 2:57PM EDT,33,call,0.00,3.50,-
12.20,11.50,13.35,GRPN201016C00013000,"October 16, 2020",1,2020-08-07 10:38AM EDT,1,call,0.00,13.00,-
10.80,8.03,11.20,GRPN201016C00015000,"October 16, 2020",2,2020-08-07 9:31AM EDT,1,call,0.00,15.00,-
10.50,2.80,12.00,GRPN200904C00014500,"September 4, 2020",1,2020-08-04 10:35AM EDT,1,call,0.00,14.50,-
9.55,1.90,11.00,GRPN200904C00015500,"September 4, 2020",0,2020-08-03 9:45AM EDT,1,call,0.00,15.50,-
9.25,2.34,10.15,GRPN200904C00016000,"September 4, 2020",2,2020-08-06 3:35PM EDT,2,call,0.00,16.00,-
7.75,2.10,9.30,GRPN200904C00017000,"September 4, 2020",2,2020-08-05 9:54AM EDT,-,call,0.00,17.00,-
7.45,6.71,8.35,GRPN200904C00018000,"September 4, 2020",2,2020-08-07 11:41AM EDT,4,call,0.00,18.00,-
6.65,5.35,8.70,GRPN200904C00018500,"September 4, 2020",1,2020-08-07 10:01AM EDT,1,call,0.00,18.50,-
5.70,0.90,6.65,GRPN200904C00020000,"September 4, 2020",1,2020-08-04 10:12AM EDT,-,call,0.00,20.00,-
4.05,4.29,4.50,GRPN200904C00023000,"September 4, 2020",70,2020-08-10 10:21AM EDT,10,call,+0.69,23.00,+19.17%
9.70,9.95,10.35,GRPN201016C00016000,"October 16, 2020",1,2020-08-07 12:27PM EDT,1,call,0.00,16.00,-
8.90,9.95,9.70,GRPN201016C00017000,"October 16, 2020",8,2020-08-07 3:54PM EDT,15,call,0.00,17.00,-
8.05,7.15,8.80,GRPN201016C00018000,"October 16, 2020",48,2020-08-07 11:08AM EDT,13,call,0.00,18.00,-
7.40,7.35,8.00,GRPN201016C00019000,"October 16, 2020",10,2020-08-07 12:13PM EDT,20,call,0.00,19.00,-
6.60,7.10,7.30,GRPN201016C00020000,"October 16, 2020",320,2020-08-10 9:31AM EDT,37,call,-0.80,20.00,-10.13%
6.15,0.91,6.65,GRPN201016C00021000,"October 16, 2020",40,2020-07-31 1:07PM EDT,19,call,0.00,21.00,-
5.40,6.29,6.00,GRPN201016C00022000,"October 16, 2020",17,2020-08-07 2:09PM EDT,50,call,0.00,22.00,-
4.90,5.30,5.55,GRPN201016C00023000,"October 16, 2020",4,2020-08-10 9:38AM EDT,2,call,-0.20,23.00,-3.64%
0.00,1.08,0.00,GRPN220121C00000500,"January 21, 2022",0,2020-06-10 3:28PM EDT,124,call,0.00,0.50,-
3.35,4.66,4.05,GRPN200904C00024000,"September 4, 2020",9,2020-08-07 3:58PM EDT,1,call,+0.26,24.00,+5.91%
2.94,3.20,3.45,GRPN200904C00025000,"September 4, 2020",28,2020-08-10 9:36AM EDT,9,call,-0.75,25.00,-18.99%
2.42,2.90,2.98,GRPN200904C00026000,"September 4, 2020",2,2020-08-07 2:00PM EDT,1,call,-0.10,26.00,-3.33%
2.05,2.40,2.58,GRPN200904C00027000,"September 4, 2020",73,2020-08-10 11:33AM EDT,8,call,-0.95,27.00,-28.36%
1.68,2.14,2.30,GRPN200904C00028000,"September 4, 2020",27,2020-08-10 10:21AM EDT,11,call,-0.61,28.00,-22.18%
1.12,2.08,2.06,GRPN200904C00029000,"September 4, 2020",2,2020-08-07 2:13PM EDT,3,call,0.00,29.00,-
1.29,1.44,1.77,GRPN200904C00030000,"September 4, 2020",62,2020-08-10 11:38AM EDT,61,call,-0.76,30.00,-34.55%
1.10,1.47,1.66,GRPN200904C00031000,"September 4, 2020",9,2020-08-10 9:34AM EDT,6,call,-0.37,31.00,-20.11%
0.95,1.42,1.48,GRPN200904C00032000,"September 4, 2020",276,2020-08-10 9:32AM EDT,4,call,-0.06,32.00,-4.05%
4.55,5.85,4.90,GRPN201016C00024000,"October 16, 2020",12,2020-08-07 11:05AM EDT,2,call,+1.95,24.00,+50.00%
3.85,3.95,4.45,GRPN201016C00025000,"October 16, 2020",105,2020-08-10 10:10AM EDT,89,call,-1.05,25.00,-21.00%
3.55,4.64,4.00,GRPN201016C00026000,"October 16, 2020",24,2020-08-07 2:43PM EDT,3,call,+0.14,26.00,+3.11%
3.10,3.40,3.60,GRPN201016C00027000,"October 16, 2020",100,2020-07-13 10:11AM EDT,3,call,+2.40,27.00,+240.00%
2.90,3.00,3.25,GRPN201016C00028000,"October 16, 2020",10,2020-08-07 11:54AM EDT,2,call,+0.39,28.00,+14.94%
2.22,3.35,3.20,GRPN201016C00029000,"October 16, 2020",2,2020-08-07 1:56PM EDT,1,call,+0.35,29.00,+11.67%
1.96,2.60,2.76,GRPN201016C00030000,"October 16, 2020",47,2020-08-10 11:41AM EDT,55,call,-0.70,30.00,-21.21%
1.82,2.32,2.46,GRPN201016C00031000,"October 16, 2020",26,2020-08-07 2:54PM EDT,18,call,0.00,31.00,-
1.79,2.15,2.22,GRPN201016C00032000,"October 16, 2020",14,2020-08-10 9:54AM EDT,5,call,-0.95,32.00,-30.65%
