ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,option_type,perc_change,strike,volume
42.05,44.70,42.25,MSFT200814C00165000,"August 14, 2020",30,2020-08-10 9:41AM EDT,37,call,-2.65,165.00,-5.60%
37.10,45.00,37.30,MSFT200814C00170000,"August 14, 2020",12,2020-08-06 2:10PM EDT,2,call,0.00,170.00,-
32.05,38.37,32.30,MSFT200814C00175000,"August 14, 2020",25,2020-08-07 12:24PM EDT,13,call,0.00,175.00,-
29.30,35.26,30.30,MSFT200814C00177500,"August 14, 2020",42,2020-08-07 12:59PM EDT,34,call,0.00,177.50,-
26.85,27.30,27.40,MSFT200814C00180000,"August 14, 2020",121,2020-08-10 10:51AM EDT,6,call,-4.60,180.00,-14.42%
24.55,21.76,25.50,MSFT200814C00182500,"August 14, 2020",53,2020-07-31 3:52PM EDT,1,call,0.00,182.50,-
22.00,26.40,22.45,MSFT200814C00185000,"August 14, 2020",65,2020-08-07 2:47PM EDT,24,call,0.00,185.00,-
19.40,25.50,20.20,MSFT200814C00187500,"August 14, 2020",48,2020-08-07 12:07PM EDT,1,call,0.00,187.50,-
17.10,18.00,17.75,MSFT200814C00190000,"August 14, 2020",402,2020-08-10 11:18AM EDT,13,call,-4.60,190.00,-20.35%
14.80,15.45,15.25,MSFT200814C00192500,"August 14, 2020",78,2020-08-10 9:33AM EDT,3,call,-4.80,192.50,-23.70%
12.55,12.60,12.75,MSFT200814C00195000,"August 14, 2020",253,2020-08-10 11:20AM EDT,68,call,-4.65,195.00,-26.96%
10.20,10.72,10.45,MSFT200814C00197500,"August 14, 2020",229,2020-08-10 11:33AM EDT,441,call,-4.28,197.50,-28.53%
8.10,8.25,8.25,MSFT200814C00200000,"August 14, 2020","1,609",2020-08-10 11:46AM EDT,"1,353",call,-4.60,200.00,-35.80%
6.10,6.32,6.30,MSFT200814C00202500,"August 14, 2020","2,594",2020-08-10 11:44AM EDT,226,call,-4.28,202.50,-40.38%
4.50,4.50,4.55,MSFT200814C00205000,"August 14, 2020","3,039",2020-08-10 11:46AM EDT,"2,417",call,-3.80,205.00,-45.78%
3.10,3.10,3.15,MSFT200814C00207500,"August 14, 2020","1,694",2020-08-10 11:47AM EDT,"3,202",call,-3.24,207.50,-51.10%
136.75,133.88,138.00,MSFT220121C00070000,"January 21, 2022",203,2020-07-31 3:15PM EDT,5,call,0.00,70.00,-
2.05,2.07,2.06,MSFT200814C00210000,"August 14, 2020","6,034",2020-08-10 11:47AM EDT,"17,046",call,-2.73,210.00,-56.88%
1.32,1.31,1.35,MSFT200814C00212500,"August 14, 2020","6,190",2020-08-10 11:47AM EDT,"8,448",call,-1.99,212.50,-60.30%
0.84,0.84,0.85,MSFT200814C00215000,"August 14, 2020","10,781",2020-08-10 11:47AM EDT,"13,323",call,-1.44,215.00,-63.16%
0.54,0.55,0.55,MSFT200814C00217500,"August 14, 2020","5,882",2020-08-10 11:45AM EDT,"4,076",call,-0.96,217.50,-63.58%
0.36,0.36,0.37,MSFT200814C00220000,"August 14, 2020","11,870",2020-08-10 11:46AM EDT,"6,441",call,-0.66,220.00,-64.71%
0.25,0.24,0.26,MSFT200814C00222500,"August 14, 2020","4,011",2020-08-10 11:45AM EDT,"1,598",call,-0.48,222.50,-66.67%
0.18,0.18,0.19,MSFT200814C00225000,"August 14, 2020","7,005",2020-08-10 11:44AM EDT,"2,196",call,-0.32,225.00,-64.00%
0.14,0.15,0.15,MSFT200814C00227500,"August 14, 2020","2,258",2020-08-10 11:38AM EDT,"1,034",call,-0.23,227.50,-60.53%
131.75,138.50,132.95,MSFT220121C00075000,"January 21, 2022",113,2020-08-05 10:31AM EDT,1,call,0.00,75.00,-
126.95,123.50,128.20,MSFT220121C00080000,"January 21, 2022",352,2020-07-27 1:51PM EDT,1,call,0.00,80.00,-
126.65,128.61,129.25,MSFT220121C00085000,"January 21, 2022",153,2020-07-09 3:33PM EDT,4,call,0.00,85.00,-
117.05,121.68,118.50,MSFT220121C00090000,"January 21, 2022",279,2020-08-04 2:37PM EDT,15,call,0.00,90.00,-
112.00,115.78,113.75,MSFT220121C00095000,"January 21, 2022",439,2020-07-16 10:29AM EDT,1,call,+5.78,95.00,+5.25%
107.85,111.20,109.30,MSFT220121C00100000,"January 21, 2022",950,2020-08-07 12:22PM EDT,10,call,-3.30,100.00,-2.88%
103.40,109.30,104.85,MSFT220121C00105000,"January 21, 2022",158,2020-08-10 9:30AM EDT,1,call,-2.00,105.00,-1.80%
99.25,100.52,100.50,MSFT220121C00110000,"January 21, 2022",716,2020-08-03 3:15PM EDT,1,call,-5.46,110.00,-5.15%
0.11,0.12,0.12,MSFT200814C00230000,"August 14, 2020","4,264",2020-08-10 11:41AM EDT,956,call,-0.19,230.00,-61.29%
0.09,0.10,0.10,MSFT200814C00232500,"August 14, 2020","1,560",2020-08-10 11:36AM EDT,"1,179",call,-0.15,232.50,-60.00%
0.07,0.09,0.09,MSFT200814C00235000,"August 14, 2020","2,347",2020-08-10 11:40AM EDT,777,call,-0.12,235.00,-57.14%
0.07,0.06,0.08,MSFT200814C00237500,"August 14, 2020",60,2020-08-10 11:15AM EDT,337,call,-0.12,237.50,-66.67%
0.05,0.05,0.06,MSFT200814C00240000,"August 14, 2020","2,944",2020-08-10 11:43AM EDT,479,call,-0.12,240.00,-70.59%
0.03,0.04,0.04,MSFT200814C00245000,"August 14, 2020","1,113",2020-08-10 11:32AM EDT,362,call,-0.10,245.00,-71.43%
0.04,0.03,0.05,MSFT200814C00250000,"August 14, 2020","2,719",2020-08-10 11:29AM EDT,548,call,-0.07,250.00,-70.00%
